CustomerID,OrderID,OrderDate,Sales,Profit,Category,City
1051,1,2023-01-01,125,5,Mobilya,Ankara
1092,2,2023-01-02,203,26,Mobilya,İstanbul
1014,3,2023-01-03,193,100,Mobilya,İstanbul
1071,4,2023-01-04,484,35,Mobilya,Ankara
1060,5,2023-01-05,135,73,Mobilya,İzmir
1020,6,2023-01-06,234,86,Mobilya,İzmir
1082,7,2023-01-07,334,42,Mobilya,İzmir
1086,8,2023-01-08,269,27,Mobilya,İzmir
1074,9,2023-01-09,118,40,Mobilya,İstanbul
1074,10,2023-01-10,96,60,Mobilya,Ankara
1087,11,2023-01-11,143,5,Mobilya,İzmir
1099,12,2023-01-12,287,15,Mobilya,İstanbul
1023,13,2023-01-13,495,-20,Mobilya,İzmir
1002,14,2023-01-14,253,-13,Mobilya,Ankara
1021,15,2023-01-15,449,92,Mobilya,İstanbul
1052,16,2023-01-16,267,78,Mobilya,Ankara
1001,17,2023-01-17,481,26,Mobilya,Ankara
1087,18,2023-01-18,390,106,Mobilya,İstanbul
1029,19,2023-01-19,88,35,Mobilya,İstanbul
1037,20,2023-01-20,149,-7,Mobilya,İstanbul
1001,21,2023-01-21,338,7,Mobilya,İstanbul
1063,22,2023-01-22,303,57,Mobilya,İstanbul
1059,23,2023-01-23,271,109,Mobilya,İstanbul
1020,24,2023-01-24,406,88,Mobilya,İstanbul
1032,25,2023-01-25,72,133,Mobilya,İzmir
1075,26,2023-01-26,299,-7,Mobilya,Ankara
1057,27,2023-01-27,59,35,Mobilya,İstanbul
1021,28,2023-01-28,295,94,Mobilya,İzmir
1088,29,2023-01-29,374,-14,Mobilya,İzmir
1048,30,2023-01-30,149,-18,Mobilya,İzmir
1090,31,2023-01-31,339,90,Mobilya,Ankara
1058,32,2023-02-01,229,130,Mobilya,İstanbul
1041,33,2023-02-02,272,86,Mobilya,İzmir
1091,34,2023-02-03,443,-3,Mobilya,Ankara
1059,35,2023-02-04,299,17,Mobilya,Ankara
1079,36,2023-02-05,196,94,Mobilya,Ankara
1014,37,2023-02-06,491,-6,Mobilya,İzmir
1061,38,2023-02-07,145,98,Mobilya,İstanbul
1061,39,2023-02-08,306,7,Mobilya,İzmir
1046,40,2023-02-09,374,18,Mobilya,İzmir
1061,41,2023-02-10,53,-4,Mobilya,İstanbul
1050,42,2023-02-11,65,65,Mobilya,İstanbul
1054,43,2023-02-12,329,105,Mobilya,İstanbul
1063,44,2023-02-13,385,23,Mobilya,Ankara
1002,45,2023-02-14,296,4,Mobilya,İstanbul
1050,46,2023-02-15,307,124,Mobilya,İzmir
1006,47,2023-02-16,433,-8,Mobilya,İstanbul
1020,48,2023-02-17,209,4,Mobilya,İzmir
1072,49,2023-02-18,389,47,Mobilya,Ankara
1038,50,2023-02-19,201,117,Mobilya,İzmir
1017,51,2023-02-20,445,46,Mobilya,İzmir
1003,52,2023-02-21,227,88,Mobilya,İstanbul
1088,53,2023-02-22,212,125,Mobilya,İstanbul
1059,54,2023-02-23,429,90,Mobilya,İzmir
1013,55,2023-02-24,82,90,Mobilya,İstanbul
1008,56,2023-02-25,466,13,Mobilya,Ankara
1089,57,2023-02-26,494,90,Mobilya,Ankara
1052,58,2023-02-27,228,-13,Mobilya,İstanbul
1001,59,2023-02-28,476,147,Mobilya,Ankara
1083,60,2023-03-01,150,92,Mobilya,İstanbul
1091,61,2023-03-02,317,62,Mobilya,İzmir
1059,62,2023-03-03,372,21,Mobilya,İzmir
1070,63,2023-03-04,114,148,Mobilya,Ankara
1043,64,2023-03-05,466,80,Mobilya,İstanbul
1007,65,2023-03-06,217,-15,Mobilya,İstanbul
1046,66,2023-03-07,379,5,Mobilya,Ankara
1034,67,2023-03-08,92,43,Mobilya,İzmir
1077,68,2023-03-09,93,38,Mobilya,Ankara
1080,69,2023-03-10,334,88,Mobilya,İzmir
1035,70,2023-03-11,446,100,Mobilya,İstanbul
1049,71,2023-03-12,61,12,Mobilya,İzmir
1003,72,2023-03-13,144,129,Mobilya,Ankara
1001,73,2023-03-14,351,0,Mobilya,İstanbul
1005,74,2023-03-15,435,49,Mobilya,Ankara
1053,75,2023-03-16,302,91,Mobilya,Ankara
1003,76,2023-03-17,291,-17,Mobilya,İzmir
1053,77,2023-03-18,84,73,Mobilya,Ankara
1092,78,2023-03-19,264,54,Mobilya,İzmir
1062,79,2023-03-20,386,41,Mobilya,İstanbul
1017,80,2023-03-21,139,73,Mobilya,İzmir
1089,81,2023-03-22,313,74,Mobilya,İstanbul
1043,82,2023-03-23,142,131,Mobilya,İzmir
1033,83,2023-03-24,459,34,Mobilya,Ankara
1073,84,2023-03-25,139,116,Mobilya,İzmir
1061,85,2023-03-26,467,110,Mobilya,İzmir
1099,86,2023-03-27,164,10,Mobilya,İstanbul
1013,87,2023-03-28,154,19,Mobilya,Ankara
1094,88,2023-03-29,440,15,Mobilya,İzmir
1047,89,2023-03-30,245,131,Mobilya,Ankara
1014,90,2023-03-31,363,-15,Mobilya,İzmir
1071,91,2023-04-01,163,45,Mobilya,İzmir
1077,92,2023-04-02,124,54,Mobilya,Ankara
